Index;Date;Name;Description;Amount_raised;Amount_number;Data AI keyword;Series
62;March 4, 2022;Atomic;a Salt Lake City, Utah-based payroll management platform;$40 million;40;FALSE;Series B
63;March 4, 2022;Bright Security;formerly named NeuraLegion, a San Francisco-based application security platform;$20 million;20;TRUE;Series A
64;March 4, 2022;Aether Diamonds;a New York-based diamond creator made from atmospheric carbon;$18 million;18;FALSE;Series A
65;March 4, 2022;Pristine Surgical;a Manchester, N.H.-based digital visualization platform focused on improving endoscopic surgeries;$15 million;15;FALSE;Series D
66;March 4, 2022;CancerIQ;a Chicago-based early cancer detection and prevention platform;$14 million;14;FALSE;Series B
67;March 4, 2022;VISO Trust;a San Francisco-based cybersecurity and due diligence platform;$11 million;11;TRUE;Series A
68;March 4, 2022;Haruko;a London-based crypto company connecting capital to the blockchain;$10 million;10;FALSE;Unknown
69;March 4, 2022;Inworld AI;a Mountain View, Calif.-based platform used to create A.I.-powered characters for virtual worlds;$10 million;10;TRUE;Unknown
70;March 4, 2022;Rarify;a New York-based NFT application programming interface (API)  platform;$10 million;10;FALSE;Series A
71;March 4, 2022;Delio;a Cardiff, U.K.-based investment platform for financial institutions;$8.3 million;8,3;FALSE;Unknown
72;March 4, 2022;Plum Life;a Berkeley Heights, N.J.-based platform for selling life insurance;$5.3 Million;5,3;FALSE;Seed
73;March 4, 2022;​​Silico;a London-based A.I.-powered decision making platform;$4.51 million;4,51;TRUE;Seed
74;March 4, 2022;juli;a Hull, Mass.-based digital health platform focused on chronic conditions;$3.8 million;3,8;FALSE;Seed
75;March 7, 2022;Immutable;a Surry Hills, Australia-based NFT trading platform;$200 million;200;FALSE;Series C
76;March 7, 2022;thatgamecompany;a Los Angeles-based video game developer;$160 million;160;FALSE;Unknown
77;March 7, 2022;AutoFi;a San Francisco-based digital commerce platform for automotive sales and financing;$85 million;85;FALSE;Unknown
78;March 7, 2022;Reforge;a San Francisco-based career development platform;$60 million;60;FALSE;Series B
79;March 7, 2022;Cider Security;a Tel Aviv, Israel-based security platform for engineering;$38 million;38;TRUE;Series A
80;March 7, 2022;Convelio;a Paris-based fine art shipping company;$35 million;35;FALSE;Series B
81;March 7, 2022;Flume Health;a New York-based digital health plan administration platform;$30 million;30;FALSE;Series A
82;March 7, 2022;Homeward;a San Francisco-based health care provider to rural communities;$20 million;20;FALSE;Unknown
83;March 7, 2022;Lynx;a Wellesley, Mass.-based health care payments, banking, and e-commerce platform;$15 million;15;FALSE;Series A
84;March 7, 2022;Owner.com;a Palo Alto, Calif.-based digital marketing and automation platform for independent restaurants;$15 million;15;FALSE;Series A
85;March 7, 2022;LifeScore;a Salisbury, U.K.-based A.I. music technology company;$14.5 million;14,5;TRUE;Unknown
86;March 7, 2022;Legal.io;a San Francisco-based enterprise marketplace for legal talent and technology;$11.6 million;11,6;FALSE;Series A
87;March 7, 2022;SteadyPay;a London-based financial services app for gig-workers;$5 million;5;FALSE;Series A
88;March 7, 2022;Zaapi;a Singapore-based e-commerce launching app for small businesses;$3 million;3;FALSE;Seed
89;March 7, 2022;Popchew;a New York-based platform for creators to launch and grow food brands;$3.6 million;3,6;FALSE;Seed
90;March 7, 2022;Credo;a Denver-based automated patient medical record retrieval;$3 million;3;FALSE;Seed
91;March 7, 2022;Glassette;a London-based online homeware curation platform;$1.58 million;1,58;FALSE;Seed
92;March 8, 2022;Stax;an Orlando, Fla.-based an all-in-one payments platform;$245 million;245;FALSE;Unknown
93;March 8, 2022;Axonius;a New York-based cybersecurity platform for asset management and SaaS management;$200 million;200;TRUE;Series E
94;March 8, 2022;Health Gorilla;a health data aggregation platform for patients and providers;$50 million;50;TRUE;Series C
95;March 8, 2022;STAQ Pharma;a Denver, Colo.-based medication outsourcing facility;$43 million;43;FALSE;Series C
96;March 8, 2022;Forma;formerly Twic), a San Francisco-based life benefits platform;$40 million;40;FALSE;Series B
97;March 8, 2022;Glorify;a London-based Christian worship and prayer app;$40 million;40;FALSE;Series B
98;March 8, 2022;Mighty Jaxx;a Singapore-based company that designs and manufactures collectibles and lifestyle products;$20 million;20;FALSE;Series A
99;March 8, 2022;Cayena;a São Paulo, Brazil-based B2B marketplace connecting customers to restaurants;$17.5 million;17,5;FALSE;Series A
100;March 8, 2022;Milo;a Miami-based fintech company focused on loans;$17 million;17;FALSE;Series A
101;March 8, 2022;Lightforge;a Raleigh, N.C.-based video game studio;$15 million;15;FALSE;Series A
102;March 8, 2022;Dianthus;a Cambridge, Mass.-based venture capital firm;$11.5 million;11,5;FALSE;Seed
103;March 8, 2022;Gumball;a Los Angeles-based advertising platform from the podcast company, Headgum;$10 million;10;FALSE;Series A
104;March 8, 2022;MDisrupt;an Austin, Texas-based digital health intelligence company;$6 million;6;FALSE;Unknown
105;March 8, 2022;Noh;a São Paulo, Brazil-based fintech startup focused on shared finances;$3 million;3;FALSE;Seed
106;March 8, 2022;Calico;a Toronto-based A.I.-powered supply chain management platform;$2 million;2;TRUE;Seed
107;March 8, 2022;Barnfox;a Hudson, N.Y.-based work and retreat club;$1 million;1;FALSE;Unknown
108;March 9, 2022;Acorns;an Irvine, Calif.-based retirement planning and investment platform;$300 million;300;FALSE;Unknown
109;March 9, 2022;Menlo Microsystems;an Irvine, Calif.-based electromechanical switch developer for battery chargers and electric cars;$150 million;150;FALSE;Series C
110;March 9, 2022;AngelList;a San Francisco-based early-stage venture funding platform;$100 million;100;FALSE;Unknown
111;March 9, 2022;Swiftly;a San Francisco-based digital retail platform;$100 million;100;FALSE;Series B
112;March 9, 2022;Money View;a Bengaluru, India-based fintech platform offering loans and money management;$75 million;75;FALSE;Series D
113;March 9, 2022;Colossal Biosciences;a Dallas, Texas-based biosciences and genetic engineering company;$60 million;60;FALSE;Series A
114;March 9, 2022;Argyle;a New York-based employment data platform developer;$55 million;55;TRUE;Series B
115;March 9, 2022;JIFFY.ai;a Milpitas, Calif.-based data analytics automation platform for finance and operations;$53 million;53;TRUE;Series B
116;March 9, 2022;Salubris Biotherapeutics;a Gaithersburg, Md.-based biotherapeutic company developing novel antibody and protein-based therapeutics;$32 million;32;FALSE;Unknown
117;March 9, 2022;Findem;a San Francisco-based A.I. recruitment platform, ha;$30 million;30;TRUE;Series B
118;March 9, 2022;Canal;a San Rafael, Calif.-based sales platform to promote D2C brands;$22.5 million;22,5;FALSE;Series A
119;March 9, 2022;Lendai;a Rishon LeZion, Israel-based fintech company providing U.S. financing to foreign investors;$13 million;13;FALSE;Seed
120;March 9, 2022;Gridline;an Atlanta, Ga.-based digital wealth platform;$9 million;9;FALSE;Unknown
121;March 9, 2022;CoFi;a Lindon, Utah-based software company for construction lending;$7 million;7;FALSE;Seed
122;March 9, 2022;KurateDAO;a startup that uses crypto economic games to curate information;$6.85 Million;6,85;FALSE;Seed
123;March 9, 2022;Enter;a San Francisco-based management payment platform to get doctors paid from insurance companies;$5.7 million;5,7;FALSE;Seed
124;March 9, 2022;Kolleno;a London-based finance platform for credit control;$5.4M;5,4;FALSE;Seed
125;March 9, 2022;MITO Material Solutions;an Indianapolis, Ind.-based chemical company creating hybrid polymer modifiers;$4.6 million;4,6;FALSE;Seed
126;March 9, 2022;Big Bold Health;a Bainbridge, Wash.-based health and wellness product developer;$4 million;4;FALSE;Series A
127;March 9, 2022;Dónde;a Salt Lake City, Utah-based PTO management platform;$3.3 million;3,3;FALSE;Seed
128;March 9, 2022;BearTax;an Alpharetta, Ga.-based software platform for calculating and filing crypto taxes;$3.2 million;3,2;FALSE;Seed
129;March 10, 2022;Roofstock;an Oakland, Calif.-based online platform for single-family rental investing;$240 million;240;FALSE;Series E
130;March 10, 2022;CredAvenue;a Chennai, India-based debt management platform;$137 million;137;FALSE;Series B
131;March 10, 2022;Ardoq;an Oslo-based enterprise architecture SaaS company;$125 million;125;FALSE;Series D
132;March 10, 2022;Tibber;a Førde, Norway-based supplier of smart energy;$100 million;100;FALSE;Series C
133;March 10, 2022;Nothing;a London-based consumer tech company;$70 million;70;FALSE;Series B
134;March 10, 2022;Atlan;a New York-based data collaboration workspace;$50 million;50;TRUE;Series B
135;March 10, 2022;Slingshot Aerospace;an El Segundo, Calif.-based producer of space simulation and analytics products for space sustainability;$25 million;25;TRUE;Series A
136;March 10, 2022;Disco;a San Francisco-based company that helps e-commerce brands acquire new customers;$20 million;20;FALSE;Series A
137;March 10, 2022;Adriel;a Seoul, South Korea-based digital marketing platform focused on paid ads;$13 million;13;FALSE;Series B
138;March 10, 2022;Upstream;a Miami-based platform designed to set up DAOs (decentralized autonomous organizations), enable voting, manage community wallets and engagement;$12 million;12;FALSE;Series A
139;March 10, 2022;Immerse;an Irvine, Calif.-based virtual reality language teaching and learning platform in the metaverse;$9 million;9;FALSE;Series B
140;March 10, 2022;Creatively;a Brooklyn-based job platform for creatives;$8 million;8;FALSE;Seed
141;March 10, 2022;Topsort;a Palo Alto, Calif.-based auction-based advertising infrastructure startup;$8 million;8;FALSE;Seed
142;March 10, 2022;Zaya;a New York-based maternal care company;$7.6M;7,6;FALSE;Seed
143;March 10, 2022;Proof Technology;a Denver-based process and e-filing platform through a network of law firms and process serving companies;$7 million;7;FALSE;Series A
144;March 10, 2022;Swim Protocol;a startup that transfers tokens across chains via multi-token liquidity pools and Solana;$4 million;4;FALSE;Seed
145;March 10, 2022;UK Workbounce;a London-based business software platform for sales teams;$2.7 million;2,7;FALSE;Unknown
146;March 11, 2022;Byju’s;a Bengaluru, India-based education technology and interactive learning platform;$800 million;800;FALSE;Unknown
147;March 11, 2022;Typeform;a Barcelona-based online conversation platform;$135 million;135;FALSE;Series C
148;March 11, 2022;Capchase;a New York-based recurring-revenue financing platform;$80 million;80;FALSE;Series B
149;March 11, 2022;RefleXion Medical;a Burlingame, Calif.-based therapeutic oncology company that uses biology-guided radiotherapy to treat cancer;$80 million;80;FALSE;Unknown
150;March 11, 2022;Branch;a Minneapolis, Minn.-based workforce payments app;$75 million;75;FALSE;Series C
151;March 11, 2022;Mojo;a New York-based sports stock market app for athlete fans;$75 million;75;FALSE;Series A
152;March 11, 2022;AiFi;a Santa Clara, Calif.-based auto-checkout platform for retailers;$65 million;65;FALSE;Series B
153;March 11, 2022;Diamond Age;a Phoenix-based robotic home construction company;$50 million;50;FALSE;Series A
154;March 11, 2022;Silent Eight;a Singapore-based A.I.-based cybersecurity platform for financial institutions;$40 million;40;TRUE;Series B
155;March 11, 2022;Nice Healthcare;a Minneapolis, Minn.-based subscription-based health care company that delivers online medical care to patients;$30 million;30;FALSE;Series A
156;March 11, 2022;A-Frame Brands;a Los Angeles-based personal care product brand incubator for diverse communities;$11.2 million;11,2;FALSE;Unknown
157;March 11, 2022;in3;an Eindhoven, Netherlands-based buy-now-pay-later fintech company;$11.1 million;11,1;FALSE;Unknown
158;March 11, 2022;Bodyguard.ai;a Nice, France-based automated moderation solution to address online cyber-harassment;$9.9 million;9,9;FALSE;Series A
159;March 11, 2022;CaliberMind;a Denver-based B2B data platform for revenue analytics;$8 million;8;TRUE;Series A
160;March 11, 2022;Mara;a São Paulo, Brazil-based grocery delivery startup for Latin America, $6 million in funding led by Canary and Caffeinated Capit;$6 million;6;FALSE;Unknown
161;March 11, 2022;Chipper;an Austin-based student loan payment app;$5.6 million;5,6;FALSE;Seed
162;March 11, 2022;Delfina;a San Francisco-based pregnancy care platform;$5.3 million;5,3;FALSE;Unknown
163;March 11, 2022;Tactic;a London-based information-gathering tool developer for customer and market research;$4.5 million;4,5;FALSE;Unknown
164;March 11, 2022;Flowingly;an Auckland, New Zealand-based process mapping and workflow automation platform;$4.5 million;4,5;FALSE;Series A
165;March 11, 2022;Paerpay;a Boston-based contactless payment solution for restaurants;$3 million;3;FALSE;Seed
166;March 11, 2022;Freightpay;a Los Angeles-based payment platform for logistics and freight forwarders;$2 million;2;FALSE;Unknown
167;March 14, 2022;Socotra;a San Francisco-based core platform for insurtech companies;$50 million;50;FALSE;Series C
168;March 14, 2022;ArchiPro;an Auckland, New Zealand-based online building marketplace;$35 million;35;FALSE;Series A
169;March 14, 2022;Encompass Corporation;a Glasgow-based due diligence automation platform;$33 million;33;FALSE;Unknown
170;March 14, 2022;100ms;a San Francisco-based live video infrastructure startup;$20 million;20;FALSE;Series A
171;March 14, 2022;Justpoint;a New York-based company connecting plaintiffs to attorneys using A.I.;$6.9 million;6,9;TRUE;Seed
172;March 14, 2022;Omnia Fishing;a Golden Valley, Minn.-based online tackle store for the fishing industry;$4 million;4;FALSE;Unknown
173;March 14, 2022;Trellis Datas;a Canberra, Australia-based machine learning platform;$2.5 million;2,5;TRUE;Seed
174;March 14, 2022;Cake Equity;a Queensland, Australia-based equity management platform;$2.2 million;2,2;FALSE;Seed
175;March 15, 2022;Akeneo;a Nantes, France-based product experience and information management company;$135 million;135;FALSE;Series D
176;March 15, 2022;Cowbell Cyber;a Pleasanton, Calif.-based cyber insurance provider for small and medium-sized companies;$100 million;100;FALSE;Series B
177;March 15, 2022;Snappt;a Los Angeles-based fraud detection company for rental applications;$100 million;100;FALSE;Series A
178;March 15, 2022;Bear Robotics;a Redwood City, Calif.-based company using robots to serve in restaurants;$81 million;81;FALSE;Series B
179;March 15, 2022;Bazaar;a Karachi, Pakistan-based B2B e-commerce and fintech platform;$70 million;70;FALSE;Series B
180;March 15, 2022;ChannelEngine;a Leiden, Netherlands-based online marketplace integration platform;$50 million;50;FALSE;Series B
181;March 15, 2022;Mori;a Boston-based food tech company focused on extending shelf-life;$50 million;50;FALSE;Series B
182;March 15, 2022;Perlego;a London-based online textbook subscription service;$50 million;50;FALSE;Series B
183;March 15, 2022;Bobbie;a San Francisco-based organic infant formula company;$40 million;40;FALSE;Series B
184;March 15, 2022;Selector;a Santa Clara, Calif.-based network monitoring and analytics solution platform;$28 million;28;TRUE;Series A
185;March 15, 2022;Magic Eden;an NFT marketplace on Solana;$27 million;27;FALSE;Series A
186;March 15, 2022;​​Compete;a Ramat Gan, Israel-based compensation and benefits benchmarking SaaS platform;$15 million;15;FALSE;Series A
187;March 15, 2022;​​Vira Health;a London-based women’s health company focused on menopause;$12 million;12;FALSE;Unknown
188;March 15, 2022;Kamino;a São Paulo, Brazil-based B2B fintech for founders based in Latin America;$6.1 million;6,1;FALSE;Seed
189;March 15, 2022;Naco;a Riga. Latvia-based nano-coating solutions provider for manufacturers;$1.65 million;1,65;FALSE;Unknown
190;March 16, 2022;Talent.com;a Montreal-based job searching platform;$120 million;120;FALSE;Series B
191;March 16, 2022;Linktree;a Melbourne, Australia-based social identity link-in-bio platform;$110 million;110;FALSE;Unknown
192;March 16, 2022;DataRails;a Tel Aviv, Israel-based financial planning and analysis solution for Excel users;$50 million;50;FALSE;Series B
193;March 16, 2022;Nautilus Labs;a New York-based marine logistics software platform for ocean commerce;$34 million;34;FALSE;Series B
194;March 16, 2022;Rutter;a San Francisco-based API platform for commerce data;$27 million;27;TRUE;Series A
195;March 16, 2022;Quadric;a Burlingame, Calif.-based edge processing platform;$21 million;21;FALSE;Series B
196;March 16, 2022;AcreTrader;a Fayetteville, Ark.-based land transaction platform;$20 million;20;FALSE;Series B
197;March 16, 2022;Treehouse;a DeFi portfolio analytics platform;$18 million;18;TRUE;Seed
198;March 16, 2022;RightBound;a Kirkland, Wash.-based developer of an autonomous sales prospecting engine;$15.5 million;15,5;FALSE;Series A
199;March 16, 2022;Pallet;an Everett, Wash.-based developer of portable shelter systems for the homeless;$15 million;15;FALSE;Unknown
200;March 16, 2022;Synthetaic;a Delafield, Wis.-based A.I.-based detection platform;$13 million;13;TRUE;Series A
201;March 16, 2022;Tender Food;a Somerville, Mass.-based creator of alternative meats;$12 million;12;FALSE;Seed
202;March 16, 2022;Protégé;a Chicago-based video audition platform for the fashion, entertainment, business, sports, and content industries;$8.5 million;8,5;FALSE;Seed
203;March 16, 2022;Kinde;a Sydney-based infrastructure software company for SaaS teams;$10.6 million;10,6;FALSE;Seed
204;March 16, 2022;Onuu;an Austin-based financial security provider;$6 million;6;TRUE;Seed
205;March 16, 2022;Twelve Labs;a San Francisco-based video search company;$5 million;5;FALSE;Seed
206;March 16, 2022;New Era ADR;a Chicago-based virtual mediation and arbitration platform for legal disputes;$4.6 million;4,6;FALSE;Seed
207;March 16, 2022;BioCoach;a Minneapolis, Minn.-based D2C in-vitro diagnostic testing company;$4 million;4;FALSE;Unknown
208;March 16, 2022;Zitti;a Los Angeles-based payment and credit platform for food industry management;$4 million;4;FALSE;Unknown
209;March 16, 2022;Retrocausal;a Redmond, Wash.-based provider of quality assurance systems for manufacturers;$3.4 million;3,4;FALSE;Unknown
210;March 17, 2022;Getir;an Istanbul, Turkey-based instant delivery startup;$768 million;768;FALSE;Series E
211;March 17, 2022;ConsenSys;a Brooklyn-based Ethereum and decentralized protocols software company;$450 million;450;FALSE;Series D
212;March 17, 2022;FLASH;an Austin-based cloud parking software;$250 million;250;FALSE;Unknown
213;March 17, 2022;SiFive;a San Mateo, Calif.-based microchip computing company;$175 million;175;FALSE;Series F
214;March 17, 2022;Webflow;a San Francisco-based web design and hosting platform;$120 million;120;FALSE;Series C
215;March 17, 2022;Amagi;a New York-based SaaS company for broadcast and streaming TV;$80.75 million;80,75;FALSE;Unknown
216;March 17, 2022;Multiplier;a Singapore-based global employment platform;$60 million;60;FALSE;Series B
217;March 17, 2022;OXIO;a New York-based telecom-as-a-service platform for brands and enterprises;$40 million;40;FALSE;Series B
218;March 17, 2022;Circuit Clinical;a Buffalo, N.Y.-based research organization;$29 million;29;FALSE;Seed
219;March 17, 2022;Todyl;a Denver, Colo.-based security and networking company;$28 Million;28;TRUE;Series A
220;March 17, 2022;TruEra;a Redwood City, Calif.-based A.I. quality management solutions platform;$25 million;25;TRUE;Series B
221;March 17, 2022;Logically;a London-based mis- and disinformation A.I. platform;$24 million;24;TRUE;Unknown
222;March 17, 2022;Apollo Neuro;a Pittsburgh, Pa.-based touch therapy wearable;$15 million;15;FALSE;Series A
223;March 17, 2022;Canopy;a New York-based oncology care platform;$13 million;13;FALSE;Unknown
224;March 17, 2022;Plantish;a Rehovot, Israel-based alt-seafood company;$12.45 million;12,45;FALSE;Seed
225;March 17, 2022;anywell;a New York-based workspace-as-a-service company;$10 million;10;FALSE;Series A
226;March 17, 2022;LILA Games;a Bangalore, India-based mobile game studio;$10 million;10;FALSE;Series A
227;March 17, 2022;PingPod;a New York-based ping pong company providing 24/7 access to its locations;$10 million;10;FALSE;Series A
228;March 17, 2022;Contingent;a London-based supplier insight and risk platform;$8.2 million;8,2;FALSE;Seed
229;March 17, 2022;OpenLoop;a Des Moines, Iowa-based hiring platform for physicians and health care providers;$8 million;8;FALSE;Series A
230;March 17, 2022;Loveseat;an Austin-based online marketplace for home goods;$7 million;7;FALSE;Series A
231;March 17, 2022;Solo;a Fremont, Calif.-based vehicle hardware company for the freight transportation industry;$7 million;7;FALSE;Seed
232;March 17, 2022;Payrails;a Berlin-based operating system for payments and financial services;$6.4 million;6,4;FALSE;Seed
233;March 17, 2022;Liveblocks;a collaboration startup for teams;$5 million;5;FALSE;Seed
234;March 17, 2022;Oorbit;an entertainment platform in the metaverse;$5 million;5;FALSE;Seed
235;March 17, 2022;Formfunction;a San Francisco-based NFT marketplace on Solana;$4.7 million;4,7;FALSE;Seed
236;March 17, 2022;MedMe Health;a Canadian web-based virtual care and clinical services platform;$2.7 million;2,7;FALSE;Seed
237;March 18, 2022;Cross River Bank;a Fort Lee, N.J.-based regional fintech lender, plans t;$600 million;600;FALSE;Unknown
238;March 18, 2022;Optimism;a layer 2 blockchain on Ethereum aiming to reduce transaction costs and speed up the network;$150 million;150;FALSE;Series B
239;March 18, 2022;Wasoko;formerly Sokowatch;$125 million;125;FALSE;Series B
240;March 18, 2022;FanCraze;a cricket NFT startup;$100 million;100;FALSE;Series A
241;March 18, 2022;The Mina Ecosystem;a blockchain protocol;$92 million;92;FALSE;Unknown
242;March 18, 2022;dscout;a Chicago-based experience research platform;$70 million;70;FALSE;Series C
243;March 18, 2022;Apptega;an Atlanta, Ga.-based cybersecurity and compliance management platform;$37 million;37;TRUE;Unknown
244;March 18, 2022;Clockwork;a Palo Alto, Calif.-based tech developer of time-sensitive applications for the financial trading, tech, and online gaming industries, toda;$21 million;21;FALSE;Series A
245;March 18, 2022;Volta Labs;a Cambridge, Mass.-based genome sequencing bioautomation company;$20 million;20;FALSE;Series A
246;March 18, 2022;Sundays for Dogs;a remote-based dog food brand;$10 million;10;FALSE;Series A
247;March 18, 2022;Coinbooks;an account platform for crypto companies and DAOs;$3.2 million;3,2;FALSE;Seed
248;March 18, 2022;ShipsKart;a Singapore-based maritime and offshore supply chain e-commerce solution;$2.7 million;2,7;FALSE;Series A
249;March 18, 2022;HonestDoor;an Edmonton, Canada-based online resource for property valuations;$2.2 million;2,2;FALSE;Seed
